original_package,category,subcategory,matched_pattern,
ch.qos.logback,"Logging, Monitoring & Observability",,ch\\.qos\\.logback.*,
com.amazonaws,"Cloud, Containerization & Orchestration",,com\\.amazonaws.*,
com.azure,"Cloud, Containerization & Orchestration",,com\\.azure.*,
com.datastax.oss,Database & Persistence,NoSQL,com\\.datastax\\.oss.*,
com.fasterxml.jackson,"Data Serialization, Transformation & Processing",,com\\.fasterxml\\.jackson.*,
com.github.ben-manes.caffeine,Caching & In-Memory Data Stores,,com\\.github\\.ben-manes\\.caffeine.*,
com.github.openfeign,Networking & Communication,,com\\.github\\.openfeign.*,
com.github.resilience4j,Utility & Helper Libraries,,com\\.github\\.resilience4j.*,
com.google.api.grpc,Networking & Communication,,com\\.google\\.api\\.grpc.*,
com.google.cloud,"Cloud, Containerization & Orchestration",,com\\.google\\.cloud.*,
com.hazelcast,Caching & In-Memory Data Stores,,com\\.hazelcast.*,
com.hibernate,Database & Persistence,,org\\.infinispan.*,
com.infinispan,Caching & In-Memory Data Stores,,com.infinispan,
com.oracle,Database & Persistence,SQL,com\\.oracle.*,
com.oracle.database.observability,"Logging, Monitoring & Observability",,com\\.oracle\\.database\\.observability,
com.oracle.oci.sdk,"Cloud, Containerization & Orchestration",,com\\.oracle\\.oci.*,
com.oracle.ojdbc,Database & Persistence,SQL,com\\.oracle.*,
com.querydsl,Database & Persistence,,com\\.querydsl.*,
com.squareup.okhttp3,Networking & Communication,,com\\.squareup\\.okhttp3.*,
io.dropwizard.metrics,"Logging, Monitoring & Observability",,io\\.dropwizard\\.metrics.*,
io.fabric8,"Cloud, Containerization & Orchestration",,io\\.fabric8.*,
io.github.openfeign,Networking & Communication,,io\\.github\\.openfeign.*,
io.jooq,Database & Persistence,SQL,io\\.jooq.*,
io.ktor,Web & Application Frameworks,Other Web Frameworks,io\\.ktor.*,
io.micrometer,"Logging, Monitoring & Observability",,io\\.micrometer.*,
io.netty,Networking & Communication,,io\\.netty.*,
io.opentelemetry,"Logging, Monitoring & Observability",,io\\.opentelemetry.*,
io.prometheus,"Logging, Monitoring & Observability",,io\\.prometheus.*,
io.projectreactor,Utility & Helper Libraries,,io\\.projectreactor.*,
io.projectreactor.netty,Networking & Communication,,io\\.projectreactor\\.netty.*,
io.r2dbc,Database & Persistence,,io\\.r2dbc.*,
io.rest-assured,"Testing, Quality Assurance & Mocking",,io\\.rest-assured.*,
io.rocket,Utility & Helper Libraries,,io\\.rocket.*,
io.undertow,Application Servers & Runtime Containers,,io\\.undertow.*,
io.zipkin.brave,"Logging, Monitoring & Observability",,io\\.zipkin.*,
io.zipkin.reporter2,"Logging, Monitoring & Observability",,io\\.zipkin.*,
org.apache.activemq,Messaging & Event Streaming,,org\\.apache\\.activemq.*,
org.apache.camel,Messaging & Event Streaming,,org\\.apache\\.camel.*,
org.apache.commons,Utility & Helper Libraries,,org\\.apache\\.commons.*,
org.apache.derby,Database & Persistence,SQL,org\\.apache\\.derby.*,
org.apache.groovy,Utility & Helper Libraries,,org\\.apache\\.groovy.*,
org.apache.httpcomponents,Networking & Communication,,org\\.apache\\.httpcomponents.*,
org.apache.johnzon,"Data Serialization, Transformation & Processing",,org\\.apache\\.johnzon.*,
org.apache.kafka,Messaging & Event Streaming,,org\\.apache\\.kafka.*,
org.apache.logging.log4j,"Logging, Monitoring & Observability",,org\\.apache\\.logging.*,
org.apache.pulsar,Messaging & Event Streaming,,org\\.apache\\.pulsar.*,
org.apache.solr,Database & Persistence,NoSQL,org\\.apache\\.solr.*,
org.apache.tomcat,Application Servers & Runtime Containers,,org\\.apache\\.tomcat.*,
org.aspectj,Utility & Helper Libraries,,org\\.aspectj.*,
org.awaitility,"Testing, Quality Assurance & Mocking",,org\\.awaitility.*,
org.cache2k,Caching & In-Memory Data Stores,,org\\.cache2k.*,
org.codehaus.groovy,Utility & Helper Libraries,,org\\.codehaus\\.groovy.*,
org.eclipse.angus,Utility & Helper Libraries,,org\\.eclipse\\.angus.*,
org.eclipse.jetty,Application Servers & Runtime Containers,,org\\.eclipse\\.jetty.*,
org.ehcache,Caching & In-Memory Data Stores,,org\\.ehcache.*,
org.elasticsearch.client,Database & Persistence,NoSQL,org\\.elasticsearch\\.client.*,
org.flywaydb,Database & Persistence,SQL,org\\.flywaydb.*,
org.glassfish.jaxb,"Data Serialization, Transformation & Processing",,org\\.glassfish\\.jaxb.*,
org.glassfish.jersey.connectors,Web & Application Frameworks,Other Web Frameworks,org\\.glassfish\\.jersey\\.connectors.*,
org.glassfish.jersey.security,Security & Authentication,,org\\.glassfish\\.jersey\\.security.*,
org.glassfish.jersey.test-framework.provide,Web & Application Frameworks,Other Web Frameworks,org\\.glassfish\\.jersey\\.test-framework\\.provide.*,
org.hamcrest,"Testing, Quality Assurance & Mocking",,org\\.hamcrest.*,
org.hibernate.orm,Database & Persistence,SQL,org\\.hibernate.*,
org.infinispan,Caching & In-Memory Data Stores,,org\\.infinispan.*,
org.jetbrains.kotlin,Utility & Helper Libraries,,org\\.jetbrains\\.kotlin.*,
org.jetbrains.kotlinx,Utility & Helper Libraries,,org\\.jetbrains\\.kotlinx.*,
org.jooq,Database & Persistence,SQL,org\\.jooq.*,
org.junit.jupiter,"Testing, Quality Assurance & Mocking",,org\\.junit.*,
org.junit.platform,"Testing, Quality Assurance & Mocking",,org\\.junit.*,
org.mockito,"Testing, Quality Assurance & Mocking",,org\\.mockito.*,
org.mongodb,Database & Persistence,NoSQL,org\\.mongodb.*,
org.seleniumhq.selenium,"Testing, Quality Assurance & Mocking",,org\\.seleniumhq\\.selenium.*,
org.slf4j,"Logging, Monitoring & Observability",,org\\.slf4j.*,
org.springframework.amqp,Messaging & Event Streaming,,org\\.springframework\\.amqp.*,
org.springframework.batch,Web & Application Frameworks,Other Web Frameworks,org\\.springframework\\.batch.*,
org.springframework.cloud,"Cloud, Containerization & Orchestration",,org\\.springframework\\.cloud.*,
org.springframework.data,Database & Persistence,,org\\.springframework\\.data.*,
org.springframework.integration,Messaging & Event Streaming,,org\\.springframework\\.integration.*,
org.springframework.ldap,Security & Authentication,,org\\.springframework\\.ldap.*,
org.springframework.restdocs,"Documentation, Code Generation & Development Tools",,org\\.springframework\\.restdocs.*,
org.springframework.security,Security & Authentication,,org\\.springframework\\.security.*,
org.springframework.session,Web & Application Frameworks,Other Web Frameworks,org\\.springframework\\.session.*,
org.springframework.ws,Web & Application Frameworks,Other Web Frameworks,org\\.springframework\\.ws.*,
org.testcontainers,"Testing, Quality Assurance & Mocking",,org\\.testcontainers.*,
org.xmlunit,"Testing, Quality Assurance & Mocking",,org\\.xmlunit.*,
software.amazon.awssdk,"Cloud, Containerization & Orchestration",,software\\.amazon\\.awssdk.*,